1: 0:0, 9:3, 4:3, 3:1, 5:3, 6:0, 7:2, 14:3, 10:3, 12:3, 1:3, 2:0, 8:3, 15:1, 13:0, 11:0
2: 0:2, 2:1, 6:3, 15:3, 11:2, 10:0, 8:0, 14:3, 12:3, 3:1, 1:3, 7:1, 5:1, 9:0, 13:0, 4:3
3: 1:0, 3:2, 13:2, 9:2, 11:1, 4:0, 15:0, 14:0, 0:1, 12:1, 10:1, 8:1, 7:1, 6:2, 5:1, 2:3
4: 2:1, 5:3, 6:0, 7:3, 8:3, 10:3, 12:3, 0:3, 14:2, 15:2, 4:2, 11:3, 9:0, 13:0, 3:0, 1:2
5: 2:1, 5:3, 8:0, 13:1, 1:0, 14:3, 9:1, 10:0, 11:0, 3:1, 12:0, 4:3, 7:2, 0:1, 6:3, 15:3
6: 3:0, 7:0, 6:2, 12:3, 1:2, 10:2, 15:2, 4:2, 8:2, 13:3, 0:0, 9:3, 11:2, 14:0, 2:1, 5:0
7: 3:0, 7:0, 6:2, 12:3, 1:2, 10:2, 15:2, 11:3, 8:2, 13:3, 0:0, 9:3, 4:1, 14:0, 2:1, 5:0
8: 3:2, 14:0, 2:1, 11:1, 4:0, 7:3, 1:0, 13:1, 9:0, 6:1, 12:0, 15:2, 0:1, 5:0, 10:0, 8:0
9: 4:0, 8:1, 1:1, 3:3, 14:3, 13:2, 10:1, 7:3, 2:0, 0:3, 15:1, 6:1, 5:3, 9:2, 11:2, 12:2
10: 4:1, 13:2, 9:2, 5:3, 7:3, 1:1, 3:3, 12:1, 0:3, 8:2, 10:2, 11:0, 15:1, 6:1, 2:3, 14:2
11: 4:1, 13:2, 9:2, 5:3, 7:3, 1:1, 3:3, 12:1, 14:1, 8:2, 10:2, 11:0, 15:1, 6:1, 2:3, 0:0
12: 4:3, 2:3, 0:0, 15:2, 14:2, 9:3, 11:0, 3:1, 12:1, 10:1, 7:2, 13:1, 6:2, 5:1, 1:3, 8:3
13: 5:0, 9:1, 14:0, 8:1, 0:2, 4:0, 15:0, 13:2, 1:1, 12:1, 10:1, 7:3, 6:0, 2:1, 3:3, 11:2
14: 5:0, 12:2, 11:1, 0:1, 9:3, 3:0, 10:3, 2:0, 13:3, 1:2, 8:3, 6:2, 4:2, 7:0, 14:2, 15:2
15: 5:0, 12:2, 11:1, 14:3, 9:3, 3:0, 10:3, 2:0, 13:3, 1:2, 8:3, 6:2, 4:2, 7:0, 0:0, 15:2
16: 5:0, 13:2, 6:0, 15:0, 1:2, 10:2, 3:0, 7:0, 2:3, 8:2, 12:3, 0:3, 9:3, 14:1, 4:2, 11:3
17: 5:0, 14:0, 3:2, 9:1, 2:2, 1:1, 11:1, 4:0, 8:1, 10:1, 0:1, 12:1, 13:3, 15:1, 7:1, 6:2
18: 5:0, 14:0, 4:0, 15:0, 2:2, 1:1, 12:1, 6:0, 8:1, 10:1, 3:2, 0:2, 13:2, 9:2, 11:1, 7:3
19: 5:2, 2:3, 14:2, 4:3, 9:1, 0:2, 13:1, 8:0, 11:1, 15:0, 10:0, 1:0, 12:1, 6:0, 7:2, 3:2
20: 5:2, 2:3, 14:2, 11:0, 9:1, 0:2, 13:1, 8:0, 4:0, 15:0, 10:0, 1:0, 12:1, 6:0, 7:2, 3:2
21: 6:0, 7:3, 15:3, 13:1, 12:3, 0:3, 10:3, 8:3, 4:2, 11:3, 1:3, 2:0, 9:3, 3:0, 14:2, 5:2
22: 6:1, 12:0, 14:1, 4:2, 5:0, 10:0, 9:2, 2:2, 1:2, 7:1, 11:3, 0:3, 8:2, 13:0, 3:0, 15:1
23: 6:3, 1:0, 0:1, 5:3, 2:0, 12:0, 4:3, 9:0, 3:2, 10:0, 15:3, 14:3, 11:1, 7:2, 13:1, 8:0
24: 7:0, 0:0, 11:0, 1:3, 6:1, 12:0, 4:3, 3:1, 5:0, 10:0, 15:3, 13:1, 2:2, 8:0, 14:3, 9:1
25: 7:1, 11:3, 1:3, 2:0, 0:0, 3:0, 14:2, 5:2, 6:2, 12:3, 9:0, 8:3, 15:2, 4:2, 10:3, 13:0
26: 7:1, 11:3, 9:0, 13:0, 0:0, 3:0, 10:3, 8:3, 6:2, 12:3, 1:3, 2:0, 15:2, 4:2, 14:2, 5:2
27: 8:1, 1:1, 5:3, 6:0, 13:3, 7:0, 10:3, 12:3, 3:3, 11:2, 9:1, 14:0, 15:0, 0:2, 2:1, 4:1
28: 8:2, 10:2, 5:2, 0:3, 15:0, 12:2, 6:3, 9:2, 13:3, 1:2, 7:1, 4:2, 11:3, 2:3, 14:2, 3:0
29: 8:2, 13:3, 7:0, 11:3, 14:1, 15:1, 10:2, 3:0, 9:2, 4:1, 12:2, 2:2, 5:1, 0:3, 1:2, 6:1
30: 9:2, 2:2, 1:1, 5:3, 14:0, 8:1, 10:1, 13:1, 4:1, 12:2, 3:3, 6:3, 11:2, 0:2, 7:3, 15:3
31: 9:2, 4:1, 12:2, 6:3, 3:3, 11:2, 0:2, 7:2, 14:1, 1:2, 10:2, 15:2, 5:1, 2:3, 8:2, 13:0
32: 9:3, 14:1, 8:2, 2:0, 13:3, 15:1, 10:2, 5:2, 3:3, 4:1, 12:2, 6:3, 1:1, 11:2, 0:2, 7:2
33: 11:0, 3:1, 2:3, 6:2, 7:1, 10:3, 12:3, 1:3, 13:0, 15:2, 4:2, 0:0, 8:3, 14:2, 9:3, 5:2
34: 11:1, 4:0, 14:3, 9:1, 0:1, 12:1, 8:0, 2:1, 7:2, 3:2, 10:0, 1:0, 15:2, 6:2, 13:0, 5:2
35: 11:1, 8:1, 1:1, 3:3, 14:3, 13:2, 10:1, 7:3, 2:0, 0:3, 15:1, 6:1, 5:3, 9:2, 4:1, 12:2
36: 11:2, 13:2, 15:3, 8:1, 2:2, 1:1, 12:1, 10:1, 14:1, 7:0, 6:2, 5:1, 3:3, 4:1, 9:1, 0:2
37: 12:0, 4:3, 9:0, 5:1, 6:3, 15:3, 0:1, 2:2, 7:1, 10:3, 13:0, 14:1, 3:1, 1:3, 8:3, 11:3
38: 12:0, 11:0, 9:0, 5:1, 6:3, 15:3, 0:1, 2:2, 7:1, 10:3, 13:0, 14:1, 3:1, 1:3, 8:3, 4:2
39: 13:1, 8:0, 2:1, 5:3, 9:1, 10:0, 1:0, 14:3, 11:0, 3:1, 12:0, 4:3, 7:2, 0:1, 6:3, 15:3
40: 13:2, 8:0, 2:1, 5:3, 15:0, 10:0, 1:0, 14:3, 7:0, 0:0, 11:0, 3:1, 6:1, 12:0, 4:3, 9:0
41: 13:2, 10:1, 4:0, 15:0, 8:1, 9:2, 12:1, 6:0, 5:0, 14:0, 3:2, 0:2, 2:2, 1:1, 11:1, 7:3
42: 14:0, 2:1, 6:3, 15:3, 11:2, 10:0, 8:0, 0:1, 12:3, 3:1, 1:3, 7:1, 5:1, 9:0, 13:0, 4:3
43: 15:0, 0:2, 7:2, 4:0, 6:0, 8:1, 1:0, 13:1, 2:2, 10:1, 3:2, 9:1, 14:1, 11:3, 12:0, 5:2
44: 15:0, 14:0, 7:2, 4:0, 6:0, 8:1, 1:0, 13:1, 2:2, 10:1, 3:2, 9:1, 0:3, 11:3, 12:0, 5:2
45: 15:1, 6:1, 0:3, 7:0, 4:1, 12:2, 3:3, 11:2, 10:2, 9:3, 14:1, 1:2, 13:3, 8:2, 5:1, 2:3
46: 15:1, 6:1, 0:3, 7:0, 4:1, 12:2, 3:3, 11:2, 14:1, 1:2, 10:2, 9:3, 5:1, 2:3, 8:2, 13:3
47: 15:1, 7:1, 0:0, 11:0, 6:1, 3:1, 12:0, 4:3, 13:3, 10:3, 8:3, 14:2, 5:1, 1:3, 2:0, 9:0
48: 15:3, 3:2, 13:2, 8:0, 0:1, 11:1, 7:3, 1:0, 2:0, 9:0, 10:2, 5:2, 4:0, 14:3, 12:2, 6:3
